Территория,Год,median,q10,q90,q2_5,q97_5,Статус
Алтайский край,1990,1.8969342320413816,1.858280777951988,1.932740944498321,1.8385723623619639,1.9524493600883452,наблюдение
Алтайский край,1991,1.72627104454404,1.6913875310737625,1.761603161971037,1.6728025762069458,1.7801881168378537,наблюдение
Алтайский край,1992,1.5157373689713451,1.4794887134492514,1.5494227429539136,1.4609782939687193,1.5679331624344457,наблюдение
Алтайский край,1993,1.3416841916866888,1.311252131405265,1.3811812607987086,1.2927430089058276,1.399690383298146,наблюдение
Алтайский край,1994,1.2958115354494426,1.257460851560181,1.3273898200855667,1.2389517716399467,1.345898900005801,наблюдение
Алтайский край,1995,1.2347321629422112,1.2007787947421558,1.270708647474812,1.182269480786394,1.2892179614305737,наблюдение
Алтайский край,1996,1.185029080246898,1.1502439682330152,1.2201773970538032,1.1317337077439007,1.2386876575429178,наблюдение
Алтайский край,1997,1.1749689973965662,1.1410534257090184,1.2109912740476079,1.1225419954442026,1.2295027043124236,наблюдение
Алтайский край,1998,1.1914943784392766,1.154494626976779,1.224433322292107,1.1359829725307624,1.2429449767381238,наблюдение
Алтайский край,1999,1.1921827924887634,1.1593626643937054,1.2293027296975023,1.1408506473336448,1.2478147467575629,наблюдение
Алтайский край,2000,1.228499443095119,1.1916722826739554,1.2616205246086776,1.1731581013904198,1.2801347058922132,наблюдение
Алтайский край,2001,1.2583551813956444,1.22485048528337,1.2948087650593227,1.2063336471437487,1.313325603198944,наблюдение
Алтайский край,2002,1.3128707334450482,1.2776898891747341,1.3476530130489086,1.2591717688797628,1.36617113334388,наблюдение
Алтайский край,2003,1.3556044450506213,1.3198468438850612,1.3898106738811065,1.3013285366909206,1.408328981075247,наблюдение
Алтайский край,2004,1.3442641078835331,1.3086229133085656,1.378586752299748,1.290104603733556,1.3971050618747576,наблюдение
Алтайский край,2005,1.2953881778544294,1.2599452687366979,1.329909267391371,1.241426916901315,1.348427619226754,наблюдение
Алтайский край,2006,1.2964651458139649,1.2652710751657532,1.3352351502788704,1.2467527030930425,1.353753522351581,наблюдение
Алтайский край,2007,1.432252221639264,1.3959029302022579,1.4658670030665983,1.3773845587247624,1.4843853745440938,наблюдение
Алтайский край,2008,1.5594138696792883,1.522563694288869,1.5925277637800446,1.5040453237041964,1.611046134364717,наблюдение
Алтайский край,2009,1.602502287517753,1.5679618722759718,1.6379258630599178,1.5494435225238443,1.6564442128120453,наблюдение
Алтайский край,2010,1.6212146213804974,1.5855646961420138,1.6555285306356275,1.5670463877574385,1.6740468390202028,наблюдение
Алтайский край,2011,1.674629765877542,1.6432884006100665,1.7132522249841502,1.624770094903969,1.7317705306902478,наблюдение
Алтайский край,2012,1.800622391271038,1.7620447812969238,1.832007904046695,1.7435266612995644,1.8505260240440544,наблюдение
Алтайский край,2013,1.8514506150527008,1.817609812250666,1.8875681055203948,1.7990929705394585,1.9060849472316024,наблюдение
Алтайский край,2014,1.8583405428924682,1.8230735675560485,1.8930218274850528,1.804559381509714,1.9115360135313872,наблюдение
Алтайский край,2015,1.8372100759148502,1.803512411288028,1.873452473217502,1.7850003951210967,1.8919644893844334,наблюдение
Алтайский край,2016,1.7852875416989293,1.7482512986335657,1.8181899759521505,1.729739648950999,1.836701625634717,наблюдение
Алтайский край,2017,1.670832451459644,1.6379516092093183,1.7078894530486677,1.6194401801353793,1.7264008821226067,наблюдение
Алтайский край,2018,1.5706558644664976,1.5342166465511446,1.6041500933700263,1.5157063812982225,1.6226603586229484,наблюдение
Алтайский край,2019,1.4756138910455427,1.4416396406473964,1.511569514753881,1.4231303210343238,1.5300788343669536,наблюдение
Алтайский край,2020,1.425784453637456,1.39095838999513,1.460887383269472,1.3724493035242429,1.4793964697403592,наблюдение
Алтайский край,2021,1.3989883767783877,1.3626099793447801,1.4325391424867207,1.3441008479126555,1.4510482739188453,наблюдение
Алтайский край,2022,1.3492720712808084,1.315058942461415,1.3849929899640163,1.2965485182171161,1.4035034142083151,наблюдение
Алтайский край,2023,1.2982063470945744,1.2618995620927633,1.3321153722474117,1.243314559779386,1.350700374560789,наблюдение
Алтайский край,2024,1.242418046140265,1.2063192560811546,1.280782028954763,1.1866101506379716,1.300491134397946,наблюдение
Алтайский край,2025,1.2302805833185089,1.1541287415178678,1.3044138072313005,1.1143506874329174,1.344191861316251,прогноз
Алтайский край,2026,1.247925057004803,1.1294264345696128,1.370632522842845,1.065583039489709,1.4344759179227489,прогноз
Алтайский край,2027,1.2758806961966827,1.129705541548114,1.4361313904303346,1.0485995185910082,1.5172374133874404,прогноз
Алтайский край,2028,1.3024252950177426,1.1387464508903444,1.489548360666169,1.0458947941144483,1.5824000174420652,прогноз
Алтайский край,2029,1.3213926802201525,1.1462321343618336,1.5266918188471759,1.0455305387990457,1.6273934144099638,прогноз
Алтайский край,2030,1.3344716556022436,1.1517255313618482,1.5519724815696798,1.045786562927937,1.657911450003591,прогноз
Алтайский край,2031,1.3504145769489388,1.1637005132278473,1.5775102558135474,1.0541716904981104,1.6870390785432843,прогноз
Алтайский край,2032,1.378664152752672,1.1920653206363654,1.6156150385314643,1.079958482168311,1.7277218769995186,прогноз
Алтайский край,2033,1.422330413157006,1.2397920624518688,1.6706324388438094,1.1257555032452595,1.7846689980504187,прогноз
Алтайский край,2034,1.4769636497983711,1.3013040324070477,1.7376692609859625,1.185805133159786,1.8531681602332242,прогноз
Алтайский край,2035,1.5357896474747819,1.3685039936392744,1.8088834119335266,1.251942602554611,1.92544480301819,прогноз
Алтайский край,2036,1.5952588060820816,1.437243230700725,1.8800716068892525,1.3200336396162293,1.9972811979737481,прогноз
Алтайский край,2037,1.6548958370637026,1.5071243455108596,1.9505129179182261,1.3897664794438471,2.0678707839852386,прогноз
Алтайский край,2038,1.7065335517819715,1.5753339838232476,2.0169839963399454,1.4584362867626008,2.133881693400592,прогноз
Алтайский край,2039,1.7273656726218811,1.6313628950307706,2.069051286169462,1.5155137758091148,2.184900405391118,прогноз
Алтайский край,2040,1.721323591342574,1.6582137527748992,2.0909535924157017,1.5436744360155892,2.2054929091750117,прогноз
Алтайский край,2041,1.6814474898684189,1.6402276930777522,2.069126444894236,1.5267050508529039,2.182649087119084,прогноз
Алтайский край,2042,1.610471584572387,1.5729425083134472,2.0004445044675117,1.4597895649806305,2.1135974478003283,прогноз
Алтайский край,2043,1.5216126808505435,1.4682291126746945,1.8963105141856955,1.3549228100076294,2.009616816852761,прогноз
Алтайский край,2044,1.4332640840686814,1.3501068149117827,1.7794401310385681,1.2364691504619616,1.8930777954883893,прогноз
