project_code,project_name,indicator_code,indicator_name,declared_emiss_count,emiss_names_from_user,has_emiss_name_in_user_list,archive_source_count,uploaded_source_files,uploaded_source_titles,coverage_status,coverage_note
Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,1,Уровень бедности среди многодетных семей,1,1,data (20).xls,Уровень бедности среди многодетных семей,представлен в переданном архиве,
Я,Национальный проект «Семья»,2.14.Я.2,Суммарный коэффициент рождаемости (Я1),1,Суммарный коэффициент рождаемости (Я1),1,1,data (21).xls,Суммарный коэффициент рождаемости (Я1),представлен в переданном архиве,
Я,Национальный проект «Семья»,2.14.Я.3,Суммарный коэффициент рождаемости третьих и последующих детей (Я2),1,Суммарный коэффициент рождаемости третьих и последующих детей (Я2),1,1,data (22).xls,Суммарный коэффициент рождаемости третьих и последующих детей (Я2),представлен в переданном архиве,
Я,Национальный проект «Семья»,2.14.Я.4,"Доля пожилых граждан и инвалидов, получающих долговременный уход, от общего числа нуждающихся в таком уходе граждан (Я4)",1,"Доля пожилых граждан и инвалидов, получающих долговременный уход, от общего числа нуждающихся в таком уходе граждан (Я4)",1,1,data (23).xls,"Доля пожилых граждан и инвалидов, получающих долговременный уход, от общего числа нуждающихся в таком уходе граждан (Я4)",представлен в переданном архиве,
Я,Национальный проект «Семья»,2.14.Я.5,"Количество созданных центров воспроизведения аудиовизуального контента в малых населенных пунктах с численностью населения до 50 тыс. человек, оснащенных необходимым оборудованием и подключенных к единой цифровой платформе с библиотекой современных продуктов российской киноиндустрии (Я5)",1,"Количество созданных центров воспроизведения аудиовизуального контента в малых населенных пунктах с численностью населения до 50 тыс. человек, оснащенных необходимым оборудованием и подключенных к единой цифровой платформе с библиотекой современных продуктов российской киноиндустрии (Я5)",1,1,data (24).xls,"Количество созданных центров воспроизведения аудиовизуального контента в малых населенных пунктах с численностью населения до 50 тыс. человек, оснащенных необходимым оборудованием и подключенных к единой цифровой платформе с библиотекой современных продуктов российской киноиндустрии (Я5)",представлен в переданном архиве,
Я,Национальный проект «Семья»,2.14.Я.6,"Уровень удовлетворенности граждан работой государственных и муниципальных организаций культуры, искусства и народного творчества (Я5)",1,"Уровень удовлетворенности граждан работой государственных и муниципальных организаций культуры, искусства и народного творчества (Я5)",1,1,data (25).xls,"Уровень удовлетворенности граждан работой государственных и муниципальных организаций культуры, искусства и народного творчества (Я5)",представлен в переданном архиве,
Я1,Федеральный проект «Поддержка семьи»,2.14.Я1.1,Доля получателей ежегодной семейной выплаты от общего числа трудоспособного населения,0,,0,0,,,не представлен в ЕМИСС по пользовательскому перечню,
Я1,Федеральный проект «Поддержка семьи»,2.14.Я1.2,"Доля семей с детьми, получивших меры социальной поддержки на детей на основании только заявления или проактивно, от общего числа семей с детьми, получивших меры социальной поддержки на детей",1,"Доля семей с детьми, получивших меры социальной поддержки на детей на основании только заявления или проактивно, от общего числа семей с детьми, получивших меры социальной поддержки на детей(Я1)",1,1,data (26).xls,"Доля семей с детьми, получивших меры социальной поддержки на детей на основании только заявления или проактивно, от общего числа семей с детьми, получивших меры социальной поддержки на детей(Я1)",представлен в переданном архиве,
Я1,Федеральный проект «Поддержка семьи»,2.14.Я1.3,"Доля зданий дошкольных образовательных организаций, в которых проведен капитальный ремонт, от общего количества зданий дошкольных образовательных организаций",1,"Доля зданий дошкольных образовательных организаций, в которых проведен капитальный ремонт, от общего количества зданий дошкольных образовательных организаций",1,1,data (27).xls,"Доля зданий дошкольных образовательных организаций, в которых проведен капитальный ремонт, от общего количества зданий дошкольных образовательных организаций",представлен в переданном архиве,
Я1,Федеральный проект «Поддержка семьи»,2.14.Я1.4,"Доля образовательных организаций высшего образования, на базе которых созданы комнаты матери и ребенка и (или) группы кратковременного пребывания детей, из числа образовательных организаций, испытывающих в них потребность",1,"Доля образовательных организаций высшего образования, на базе которых созданы комнаты матери и ребенка и/или группы кратковременного пребывания детей, из числа образовательных организаций, испытывающих в них потребность",1,0,,,"ожидался в ЕМИСС по пользовательскому перечню, но отсутствует в переданном архиве","В перечне указан ненулевой счетчик/название таблицы ЕМИСС, но соответствующего файла в архиве нет."
