file_name,Презентация национального проекта Семья.pdf,Паспорт-национального-проекта-Семья.pdf,Стратегия действий по реализации семейной и демографической политики до 2036 года.pdf,Стратегия действий в интересах граждан старшего поколения до 2030 года.pdf
Презентация национального проекта Семья.pdf,1.0,0.08838983553133187,0.2522967430396012,0.21194239018564964
Паспорт-национального-проекта-Семья.pdf,0.08838983553133187,0.9999999999999998,0.16599383345792185,0.12090131059900568
Стратегия действий по реализации семейной и демографической политики до 2036 года.pdf,0.2522967430396012,0.16599383345792185,1.000000000000004,0.4903048384018355
Стратегия действий в интересах граждан старшего поколения до 2030 года.pdf,0.21194239018564964,0.12090131059900568,0.4903048384018355,1.0000000000000007
