region_code,region_name,tile_label,federal_district,tile_x,tile_y,has_tile_polygon,data_20.xls_2.14.Я.1,data_21.xls_2.14.Я.2,data_22.xls_2.14.Я.3,data_23.xls_2.14.Я.4,data_25.xls_2.14.Я.6,data_29.xls_2.14.Я3.1,data_30.xls_2.14.Я3.2,data_31.xls_2.14.Я3.3,data_32.xls_2.14.Я3.3,data_33.xls_2.14.Я3.4,data_34.xls_2.14.Я3.5,data_35.xls_2.14.Я5.2
36,Воронежская область,ВРН,Центральный федеральный округ,9,5,True,7.9,1.218,0.242,13.44,96.5,8.03,10.66,3.0,3.4,86.99,40.9,32.6
37,Ивановская область,ИВН,Центральный федеральный округ,7,4,True,12.5,1.221,0.287,2.83,84.3,9.09,12.49,4.6,1.4,95.3,16.03,30.4
38,Иркутская область,ИРК,Сибирский федеральный округ,18,7,True,37.6,1.557,0.466,1.43,98.1,7.82,9.87,5.7,4.0,90.95,16.68,29.4
39,Калининградская область,КГД,Северо-Западный федеральный округ,0,1,True,13.9,1.185,0.268,3.02,93.3,8.74,15.63,4.0,2.2,93.57,23.42,21.1
40,Калужская область,КЛЖ,Центральный федеральный округ,4,4,True,17.1,1.25,0.407,5.75,97.5,9.99,7.0,4.9,5.5,80.52,6.17,27.7
41,Камчатский край,КАМ,Дальневосточный федеральный округ,24,2,True,21.7,1.561,0.392,9.84,84.4,2.84,7.59,4.3,6.1,86.38,20.75,27.7
42,Кемеровская область - Кузбасс,КЕМ,Сибирский федеральный округ,21,5,True,14.3,1.121,0.295,7.85,95.1,8.17,13.93,5.6,5.8,94.81,17.47,30.4
43,Кировская область,КИР,Приволжский федеральный округ,11,5,True,18.7,1.422,0.321,25.84,97.8,10.16,11.98,3.1,3.2,95.53,20.03,34.3
44,Костромская область,КОС,Центральный федеральный округ,6,3,True,21.4,1.39,0.354,47.25,97.8,10.42,9.82,3.1,5.3,72.12,33.03,29.7
45,Курганская область,КУРГ,Уральский федеральный округ,15,6,True,14.8,1.512,0.49,3.15,98.5,7.06,15.81,6.1,3.8,86.36,38.73,28.2
46,Курская область,КУР,Центральный федеральный округ,5,5,True,10.5,1.168,0.248,7.35,75.0,8.68,8.97,3.9,3.1,97.55,31.26,25.8
47,Ленинградская область,ЛЕН,Северо-Западный федеральный округ,2,1,True,10.7,0.911,0.231,4.96,97.4,11.99,20.21,3.2,2.8,90.13,29.25,25.4
48,Липецкая область,ЛИП,Центральный федеральный округ,6,5,True,14.8,1.16,0.286,3.48,98.7,9.6,11.46,2.9,2.9,86.23,35.64,29.8
49,Магаданская область,МАГ,Дальневосточный федеральный округ,25,2,True,15.6,1.205,0.345,23.91,96.7,6.89,22.48,4.9,4.2,85.89,11.11,24.4
50,Московская область,МОСО,Центральный федеральный округ,8,3,True,18.9,1.3,0.31,1.49,97.9,6.89,12.94,3.3,3.8,92.49,60.28,30.0
