territory_name,territory_type,region_code,region_name,federal_district,territory_canonical_status
Республика Татарстан (Татарстан),субъект РФ,16,Республика Татарстан,Приволжский федеральный округ,mapped_to_89
Республика Тыва,субъект РФ,17,Республика Тыва,Сибирский федеральный округ,mapped_to_89
Республика Хакасия,субъект РФ,19,Республика Хакасия,Сибирский федеральный округ,mapped_to_89
Ростовская область,субъект РФ,61,Ростовская область,Южный федеральный округ,mapped_to_89
Рязанская область,субъект РФ,62,Рязанская область,Центральный федеральный округ,mapped_to_89
Самарская область,субъект РФ,63,Самарская область,Приволжский федеральный округ,mapped_to_89
Саратовская область,субъект РФ,64,Саратовская область,Приволжский федеральный округ,mapped_to_89
Сахалинская область,субъект РФ,65,Сахалинская область,Дальневосточный федеральный округ,mapped_to_89
Свердловская область,субъект РФ,66,Свердловская область,Уральский федеральный округ,mapped_to_89
Смоленская область,субъект РФ,67,Смоленская область,Центральный федеральный округ,mapped_to_89
Ставропольский край,субъект РФ,26,Ставропольский край,Северо-Кавказский федеральный округ,mapped_to_89
Тамбовская область,субъект РФ,68,Тамбовская область,Центральный федеральный округ,mapped_to_89
Тверская область,субъект РФ,69,Тверская область,Центральный федеральный округ,mapped_to_89
Томская область,субъект РФ,70,Томская область,Сибирский федеральный округ,mapped_to_89
Тульская область,субъект РФ,71,Тульская область,Центральный федеральный округ,mapped_to_89
Тюменская область,субъект РФ,72,Тюменская область,Уральский федеральный округ,mapped_to_89
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),субъект РФ,72,Тюменская область,Уральский федеральный округ,mapped_to_89
Удмуртская Республика,субъект РФ,18,Удмуртская Республика,Приволжский федеральный округ,mapped_to_89
Ульяновская область,субъект РФ,73,Ульяновская область,Приволжский федеральный округ,mapped_to_89
Хабаровский край,субъект РФ,27,Хабаровский край,Дальневосточный федеральный округ,mapped_to_89
Ханты-Мансийский автономный округ - Югра,субъект РФ,86,Ханты-Мансийский автономный округ - Югра,Уральский федеральный округ,mapped_to_89
Ханты-Мансийский автономный округ - Югра (Тюменская область),субъект РФ,86,Ханты-Мансийский автономный округ - Югра,Уральский федеральный округ,mapped_to_89
Херсонская область,субъект РФ,95,Херсонская область,Новые регионы / Южный макрорегион,mapped_to_89
Челябинская область,субъект РФ,74,Челябинская область,Уральский федеральный округ,mapped_to_89
Чеченская Республика,субъект РФ,20,Чеченская Республика,Северо-Кавказский федеральный округ,mapped_to_89
Чувашская Республика - Чувашия,субъект РФ,21,Чувашская Республика - Чувашия,Приволжский федеральный округ,mapped_to_89
Чукотский автономный округ,субъект РФ,87,Чукотский автономный округ,Дальневосточный федеральный округ,mapped_to_89
Ямало-Ненецкий автономный округ,субъект РФ,89,Ямало-Ненецкий автономный округ,Уральский федеральный округ,mapped_to_89
Ямало-Ненецкий автономный округ (Тюменская область),субъект РФ,89,Ямало-Ненецкий автономный округ,Уральский федеральный округ,mapped_to_89
Ярославская область,субъект РФ,76,Ярославская область,Центральный федеральный округ,mapped_to_89
Дальневосточный федеральный округ,федеральный округ,,,,федеральный округ
Дальневосточный федеральный округ (с 03.11.2018),федеральный округ,,,,федеральный округ
Крымский федеральный округ,федеральный округ,,,,федеральный округ
Приволжский федеральный округ,федеральный округ,,,,федеральный округ
Северо-Западный федеральный округ,федеральный округ,,,,федеральный округ
Северо-Кавказский федеральный округ,федеральный округ,,,,федеральный округ
Сибирский федеральный округ,федеральный округ,,,,федеральный округ
Сибирский федеральный округ (с 03.11.2018),федеральный округ,,,,федеральный округ
Уральский федеральный округ,федеральный округ,,,,федеральный округ
Центральный федеральный округ,федеральный округ,,,,федеральный округ
Южный федеральный округ (с 2010 года),федеральный округ,,,,федеральный округ
Южный федеральный округ (с 29.07.2016),федеральный округ,,,,федеральный округ
