observation_id,project_code,project_name,indicator_code,indicator_name,source_table_id,source_file,source_variant_title,source_title,passport_title,territory_name,territory_type,territory_raw,territory_indent_spaces,year,period_type,period_code,period_label,month_start,month_end,period_start,period_end,unit,value,value_raw,last_update,row_number_excel,column_number_excel,region_code,is_subject_89,territory_canonical_status,region_name,federal_district,period_end_dt,period_start_dt,annualized_method,is_full_year,territory_scope_norm
33,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Город Санкт-Петербург город федерального значения,субъект РФ,        Город Санкт-Петербург город федерального значения,8,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,10.1,10.1,30.12.2025,34,5,78,True,mapped_to_89,Санкт-Петербург,Северо-Западный федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
41,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Город федерального значения Севастополь,субъект РФ,        Город федерального значения Севастополь,8,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,30.2,30.2,30.12.2025,42,5,92,True,mapped_to_89,Севастополь,Южный федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
88,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Еврейская автономная область,субъект РФ,Еврейская автономная область,0,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,33.5,33.5,30.12.2025,89,5,79,True,mapped_to_89,Еврейская автономная область,Дальневосточный федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
80,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Забайкальский край,субъект РФ,Забайкальский край,0,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,22.5,22.5,30.12.2025,81,5,75,True,mapped_to_89,Забайкальский край,Дальневосточный федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
9,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Ивановская область,субъект РФ,        Ивановская область,8,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,12.5,12.5,30.12.2025,10,5,37,True,mapped_to_89,Ивановская область,Центральный федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
74,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Иркутская область,субъект РФ,Иркутская область,0,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,37.6,37.6,30.12.2025,75,5,38,True,mapped_to_89,Иркутская область,Сибирский федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
44,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Кабардино-Балкарская Республика,субъект РФ,        Кабардино-Балкарская Республика,8,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,18.1,18.1,30.12.2025,45,5,07,True,mapped_to_89,Кабардино-Балкарская Республика,Северо-Кавказский федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
28,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Калининградская область,субъект РФ,        Калининградская область,8,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,13.9,13.9,30.12.2025,29,5,39,True,mapped_to_89,Калининградская область,Северо-Западный федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
10,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Калужская область,субъект РФ,        Калужская область,8,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,17.1,17.1,30.12.2025,11,5,40,True,mapped_to_89,Калужская область,Центральный федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
82,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Камчатский край,субъект РФ,Камчатский край,0,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,21.7,21.7,30.12.2025,83,5,41,True,mapped_to_89,Камчатский край,Дальневосточный федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
45,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Карачаево-Черкесская Республика,субъект РФ,        Карачаево-Черкесская Республика,8,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,20.1,20.1,30.12.2025,46,5,09,True,mapped_to_89,Карачаево-Черкесская Республика,Северо-Кавказский федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
75,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Кемеровская область - Кузбасс,субъект РФ,Кемеровская область - Кузбасс,0,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,14.3,14.3,30.12.2025,76,5,42,True,mapped_to_89,Кемеровская область - Кузбасс,Сибирский федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
56,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Кировская область,субъект РФ,        Кировская область,8,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,18.7,18.7,30.12.2025,57,5,43,True,mapped_to_89,Кировская область,Приволжский федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
11,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Костромская область,субъект РФ,        Костромская область,8,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,21.4,21.4,30.12.2025,12,5,44,True,mapped_to_89,Костромская область,Центральный федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
37,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Краснодарский край,субъект РФ,        Краснодарский край,8,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,24.0,24.0,30.12.2025,38,5,23,True,mapped_to_89,Краснодарский край,Южный федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
73,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Красноярский край,субъект РФ,Красноярский край,0,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,18.8,18.8,30.12.2025,74,5,24,True,mapped_to_89,Красноярский край,Сибирский федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
63,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Курганская область,субъект РФ,        Курганская область,8,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,14.8,14.8,30.12.2025,64,5,45,True,mapped_to_89,Курганская область,Уральский федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
12,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Курская область,субъект РФ,        Курская область,8,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,10.5,10.5,30.12.2025,13,5,46,True,mapped_to_89,Курская область,Центральный федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
29,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Ленинградская область,субъект РФ,        Ленинградская область,8,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,10.7,10.7,30.12.2025,30,5,47,True,mapped_to_89,Ленинградская область,Северо-Западный федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
