region_code,region_name,indicator_key,source_file,indicator_code,z_score,spatial_lag_z,local_moran_I,p_value,cluster_type
35,Вологодская область,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,-0.9733186305167563,-0.16654580451327558,0.1621021343671728,0.52,NS
36,Воронежская область,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,-1.4343316739473166,-0.25892274586286973,0.3713810954965256,0.3,NS
37,Ивановская область,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,-0.8284288168671515,-0.41681002808986545,0.3452974384288514,0.24,NS
38,Иркутская область,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,2.4776932945920107,1.0208920773514394,2.5294574545557698,0.02,HH
39,Калининградская область,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,-0.6440235994949274,-0.6110940963927446,0.3935590195889555,0.32,NS
40,Калужская область,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,-0.22252595978698625,-0.4442512806750179,0.09885744261880618,0.5,NS
41,Камчатский край,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,0.3833768972931786,-0.19179175689161562,-0.0735285286835152,0.7,NS
42,Кемеровская область - Кузбасс,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,-0.5913363945314347,0.455821804117981,-0.26954402219594076,0.28,NS
43,Кировская область,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,-0.011777139933016049,-0.4888890515468658,0.005757714771786934,0.94,NS
44,Костромская область,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,0.34386149357055906,-0.6993451647065947,-0.24047787285735828,0.4,NS
45,Курганская область,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,-0.5254773883270689,-0.3498533717820935,0.18384003610147356,0.5,NS
46,Курская область,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,-1.0918648416846146,-0.5807989535387363,0.6341539574561622,0.1,NS
47,Ленинградская область,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,-1.0655212392028686,-0.38936877550471305,0.41488070018268536,0.16,NS
48,Липецкая область,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,-0.5254773883270689,-0.5166961874998203,0.27151216316595905,0.28,NS
49,Магаданская область,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,-0.4201029784000838,0.0837184190633144,-0.035170357195444736,0.88,NS
50,Московская область,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,0.014566462548730168,-0.2982638169220071,-0.0043446487188357275,0.96,NS
51,Мурманская область,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,-0.8942878230715173,0.1945810795073301,-0.17401149000351607,0.62,NS
52,Нижегородская область,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,-1.1840674503707267,-0.18301055606436695,0.2166968425100639,0.36,NS
53,Новгородская область,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,-0.024948941173888923,-0.09410089768847321,0.002347717760839858,0.96,NS
54,Новосибирская область,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,0.3702050960523057,0.32081084139903127,0.11876580835474938,0.56,NS
55,Омская область,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,0.5677821146654031,0.19897167992095455,0.11297256118404729,0.6,NS
56,Оренбургская область,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,-0.6176799970131811,-0.5188914877066324,0.3205088925767978,0.28,NS
57,Орловская область,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,-0.5649927920496884,-0.4648871026190525,0.2626578620966285,0.36,NS
58,Пензенская область,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,0.5546103134245297,-0.1487638728380968,-0.08250597814098375,0.64,NS
59,Пермский край,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,-0.26204136350960583,-0.3041911274804,0.07971065781248834,0.72,NS
60,Псковская область,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,0.752187332037627,-0.19881671755341482,-0.14954741634098154,0.54,NS
61,Ростовская область,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,-0.1698387548234938,-0.07427124901366283,0.012614136451666138,0.88,NS
62,Рязанская область,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,0.27800248736619326,-0.3476580715752814,-0.09664980865086228,0.48,NS
63,Самарская область,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,0.08042546875309595,-0.6407306491847091,-0.0515310628051557,0.72,NS
64,Саратовская область,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,-0.1434951523417476,-0.10178444841231583,0.01460557493094601,0.9,NS
65,Сахалинская область,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,0.8312181394828662,-0.13690925172131096,-0.11380145349377949,0.68,NS
66,Свердловская область,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,-0.4332747796409569,-0.4502099526649366,0.19506461803306602,0.38,NS
67,Смоленская область,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,-0.1698387548234938,0.3728394563004801,-0.06332258900714198,0.72,NS
68,Тамбовская область,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,0.6072975183880222,-0.254138282765082,-0.15433754845062775,0.4,NS
69,Тверская область,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,0.9102489469281048,-0.15008105296218407,-0.13661112041268916,0.52,NS
70,Томская область,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,0.6072975183880222,-0.2510648624755448,-0.15247106793582843,0.4,NS
71,Тульская область,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,-0.8942878230715173,-0.20408543804976403,0.1825111221141205,0.42,NS
72,Тюменская область,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,-0.38058757467746424,-0.2515039225169074,0.09571926789257867,0.72,NS
73,Ульяновская область,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,-0.4596183821227031,-0.32790036971397163,0.15070903742537184,0.52,NS
74,Челябинская область,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,-0.23569776102785958,-0.5386491895679422,0.12695840796063507,0.62,NS
75,Забайкальский край,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,0.4887513072201639,1.7071429220009307,0.8343683347396051,0.14,NS
76,Ярославская область,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,-0.4991337858453227,-0.14349515234174756,0.07162327863878779,0.68,NS
77,Москва,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,-1.4606752764290631,-0.10397974861912804,0.15188064805726934,0.6,NS
78,Санкт-Петербург,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,-1.1445520466481074,-0.8547724193488979,0.9783315219841354,0.06,NS
79,Еврейская автономная область,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,1.937649443716211,0.06066776689178638,0.11755286476937464,0.66,NS
83,Ненецкий автономный округ,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,1.5688390089717625,-0.6967108044584199,-1.093027088006467,0.02,HL
86,Ханты-Мансийский автономный округ - Югра,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,-1.4738470776699362,-0.23569776102785955,0.3473824563042578,0.18,NS
87,Чукотский автономный округ,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,-0.9864904317576293,0.22860823271291905,-0.2255198341923161,0.52,NS
89,Ямало-Ненецкий автономный округ,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,-1.5133624813925555,0.1001831706144059,-0.15161345167479107,0.5,NS
91,Республика Крым,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,-0.9864904317576293,0.7297694428668859,-0.7199105727772789,0.1,NS
92,Севастополь,data (20).xls | 2.14.Я.1,data (20).xls,2.14.Я.1,1.5029800027673967,-0.9864904317576293,-1.4826753918530922,0.14,NS
1,Республика Адыгея,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,0.005995609621249483,0.5039515842716857,0.0030214969673032386,0.96,NS
2,Республика Башкортостан,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,-0.25854350191179476,0.12011052047864113,-0.031053794580996216,0.84,NS
3,Республика Бурятия,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,0.3249986558816852,1.4972700128712528,0.48661074167511065,0.24,NS
4,Республика Алтай,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,1.5426566251440788,0.43392652533646764,0.6693996291360518,0.06,NS
5,Республика Дагестан,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,1.5348760630401657,1.1082419076755992,1.7010139761492464,0.02,HH
6,Республика Ингушетия,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,1.3753745399099484,2.604703352328211,3.5824426748103133,0.04,HH
7,Кабардино-Балкарская Республика,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,0.7684906958047292,0.025447014881032015,0.01955579417207759,0.88,NS
8,Республика Калмыкия,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,-0.7137063849907087,0.058125375717466954,-0.04148445177954006,0.74,NS
9,Карачаево-Черкесская Республика,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,-0.05624888721005505,0.2510833158945109,-0.014123157116076965,0.98,NS
10,Республика Карелия,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,0.5623058000510333,-0.5619854239644037,-0.3160076634393231,0.26,NS
