region_code,region_name,federal_district,family_project_performance_index,family_project_risk_index,pc1_score
83,Ненецкий автономный округ,Северо-Западный федеральный округ,94.38,5.62,2.301732682041379
86,Ханты-Мансийский автономный округ - Югра,Уральский федеральный округ,67.42,32.58,0.09719564358978193
87,Чукотский автономный округ,Дальневосточный федеральный округ,100.0,0.0,7.290253987375596
89,Ямало-Ненецкий автономный округ,Уральский федеральный округ,86.52,13.48,1.2219696290187128
90,Запорожская область,Новые регионы / Южный макрорегион,48.88,51.12,-0.46406418219402096
91,Республика Крым,Южный федеральный округ,75.28,24.72,0.48998439185045267
92,Севастополь,Южный федеральный округ,6.74,93.26,-1.6720369951765994
93,Донецкая Народная Республика,Новые регионы / Южный макрорегион,47.19,52.81,-0.4643072855728189
94,Луганская Народная Республика,Новые регионы / Южный макрорегион,50.56,49.44,-0.4640479753021009
95,Херсонская область,Новые регионы / Южный макрорегион,48.88,51.12,-0.46406418219402096
