document_id,file_name,n_tokens,pronatality_count,pronatality_per_1000_words,welfare_income_count,welfare_income_per_1000_words,healthcare_reproductive_count,healthcare_reproductive_per_1000_words,infrastructure_services_count,infrastructure_services_per_1000_words,culture_values_count,culture_values_per_1000_words,ageing_care_count,ageing_care_per_1000_words,governance_implementation_count,governance_implementation_per_1000_words,rights_autonomy_count,rights_autonomy_per_1000_words,work_education_count,work_education_per_1000_words
presentation_family_project,Презентация национального проекта Семья.pdf,700,10,14.285714285714285,13,18.571428571428573,4,5.714285714285714,8,11.428571428571429,13,18.571428571428573,7,10.0,20,28.57142857142857,7,10.0,5,7.142857142857142
passport_family_project,Паспорт-национального-проекта-Семья.pdf,2827,22,7.782101167315175,40,14.149274849663955,0,0.0,8,2.829854969932791,25,8.843296781039971,16,5.659709939865582,46,16.271666077113547,24,8.489564909798373,24,8.489564909798373
strategy_family_demography_2036,Стратегия действий по реализации семейной и демографической политики до 2036 года.pdf,12109,130,10.73581633495747,251,20.728383846725574,63,5.202741762325544,41,3.3859113056404326,51,4.211743331406392,12,0.9909984309191512,191,15.77339169212982,189,15.608225286976628,85,7.019572219010653
strategy_older_generation_2030,Стратегия действий в интересах граждан старшего поколения до 2030 года.pdf,10198,0,0.0,188,18.434987252402433,28,2.745636399293979,39,3.824279270445185,38,3.7262208276132576,227,22.259266522847614,125,12.25730535399098,136,13.335948225142184,60,5.88350656991567
