source_file,indicator_code,indicator_name,target_year,target_value,direction,observed_full_year_value_if_available,forecast_value,forecast_lower_approx,forecast_upper_approx,value_used_for_status,gap_positive_good,status_at_or_forecast_to_target_year
data (24).xls,2.14.Я.5,"Количество созданных центров воспроизведения аудиовизуального контента в малых населенных пунктах с численностью населения до 50 тыс. человек, оснащенных необходимым оборудованием и подключенных к единой цифровой платформе с библиотекой современных продуктов российской киноиндустрии (Я5)",2027,410.0,increase,,41.000000586498274,21.19642047066073,60.80358070233582,41.000000586498274,-368.9999994135017,False
data (24).xls,2.14.Я.5,"Количество созданных центров воспроизведения аудиовизуального контента в малых населенных пунктах с численностью населения до 50 тыс. человек, оснащенных необходимым оборудованием и подключенных к единой цифровой платформе с библиотекой современных продуктов российской киноиндустрии (Я5)",2028,570.0,increase,,82.00000064290732,59.13279602131307,104.86720526450158,82.00000064290732,-487.9999993570927,False
data (24).xls,2.14.Я.5,"Количество созданных центров воспроизведения аудиовизуального контента в малых населенных пунктах с численностью населения до 50 тыс. человек, оснащенных необходимым оборудованием и подключенных к единой цифровой платформе с библиотекой современных продуктов российской киноиндустрии (Я5)",2029,735.0,increase,,123.00000069931636,97.4336887046753,148.5663126939574,123.00000069931636,-611.9999993006836,False
data (24).xls,2.14.Я.5,"Количество созданных центров воспроизведения аудиовизуального контента в малых населенных пунктах с численностью населения до 50 тыс. человек, оснащенных необходимым оборудованием и подключенных к единой цифровой платформе с библиотекой современных продуктов российской киноиндустрии (Я5)",2030,900.0,increase,,164.00000075572535,135.99350917236575,192.00649233908496,164.00000075572535,-735.9999992442747,False
data (25).xls,2.14.Я.6,"Уровень удовлетворенности граждан работой государственных и муниципальных организаций культуры, искусства и народного творчества (Я5)",2025,56.5,increase,93.6,,,,93.6,37.099999999999994,True
data (25).xls,2.14.Я.6,"Уровень удовлетворенности граждан работой государственных и муниципальных организаций культуры, искусства и народного творчества (Я5)",2026,58.0,increase,,94.54833333333309,93.27475990607357,95.82190676059261,94.54833333333309,36.54833333333309,True
data (25).xls,2.14.Я.6,"Уровень удовлетворенности граждан работой государственных и муниципальных организаций культуры, искусства и народного творчества (Я5)",2027,59.5,increase,,95.92143616126616,94.36163363788944,97.48123868464288,95.92143616126616,36.42143616126616,True
data (25).xls,2.14.Я.6,"Уровень удовлетворенности граждан работой государственных и муниципальных организаций культуры, искусства и народного творчества (Я5)",2028,60.0,increase,,97.3698011637177,95.5686963502093,99.1709059772261,97.3698011637177,37.369801163717696,True
data (25).xls,2.14.Я.6,"Уровень удовлетворенности граждан работой государственных и муниципальных организаций культуры, искусства и народного творчества (Я5)",2029,61.5,increase,,98.81816616616923,96.80446976736579,100.83186256497268,98.81816616616923,37.318166166169235,True
data (25).xls,2.14.Я.6,"Уровень удовлетворенности граждан работой государственных и муниципальных организаций культуры, искусства и народного творчества (Я5)",2030,63.0,increase,,100.05778171734039,97.85188783415727,102.26367560052351,100.05778171734039,37.05778171734039,True
data (29).xls,2.14.Я3.1,Охват граждан репродуктивного возраста (18–49 лет) диспансеризацией с целью оценки репродуктивного здоровья,2030,50.0,increase,,45.429968699639616,39.17805804629297,51.681879352986265,45.429968699639616,-4.570031300360384,False
data (29).xls,2.14.Я3.1,Охват граждан репродуктивного возраста (18–49 лет) диспансеризацией с целью оценки репродуктивного здоровья,2036,50.0,increase,,,,,,,
data (31).xls,2.14.Я3.3,Младенческая смертность,2030,3.9,decrease,,3.684371184371184,1.9043615542584704,5.4643808144838975,3.684371184371184,0.21562881562881575,True
data (31).xls,2.14.Я3.3,Младенческая смертность,2036,3.7,decrease,,,,,,,
data (32).xls,2.14.Я3.3,Младенческая смертность,2030,3.9,decrease,,3.358614930955771,3.115802603891737,3.601427258019805,3.358614930955771,0.541385069044229,True
data (32).xls,2.14.Я3.3,Младенческая смертность,2036,3.7,decrease,,,,,,,
data (34).xls,2.14.Я3.5,"Доля беременных женщин, обратившихся в медицинские организации в ситуации репродуктивного выбора, получивших услуги по оказанию правовой, психологической и медико-социальной помощи, и вставших на учет по беременности",2030,26.0,increase,,50.85738569045216,49.8876152926868,51.82715608821752,50.85738569045216,24.857385690452162,True
data (34).xls,2.14.Я3.5,"Доля беременных женщин, обратившихся в медицинские организации в ситуации репродуктивного выбора, получивших услуги по оказанию правовой, психологической и медико-социальной помощи, и вставших на учет по беременности",2036,30.0,increase,,,,,,,
