forecast_date,linear,ridge,forecast_ensemble_median,forecast_ensemble_mean,forecast_lower_approx,forecast_upper_approx,source_file,indicator_code,indicator_name,source_title,gradient_boosting,huber,random_forest
2025-12-31,11.624068965517232,24.42055555555556,18.022312260536395,18.022312260536395,9.843580077098974,26.201044443973817,data (20).xls,2.14.Я.1,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",,,
2026-12-31,5.314068965517226,18.81166666666667,12.062867816091948,12.062867816091948,1.2434221175040872,22.882313514679808,data (20).xls,2.14.Я.1,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",,,
2027-12-31,-0.9959310344827728,13.202777777777781,6.103423371647504,6.103423371647504,0.0,19.035134407739662,data (20).xls,2.14.Я.1,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",,,
2028-12-31,-7.305931034482782,7.593888888888895,0.14397892720305627,0.14397892720305627,0.0,14.888398055038643,data (20).xls,2.14.Я.1,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",,,
2029-12-31,-13.615931034482784,1.985000000000003,0.0,0.0,0.0,10.541998849633453,data (20).xls,2.14.Я.1,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",,,
2030-12-31,-19.925931034482787,-3.6238888888888816,0.0,0.0,0.0,6.050223575257911,data (20).xls,2.14.Я.1,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",,,
2026-04-30,1.345474551551415,1.3549283602373197,1.357991774950609,1.3559081100373624,1.3508505956823003,1.3651329542189177,data (21).xls,2.14.Я.2,Суммарный коэффициент рождаемости (Я1),Суммарный коэффициент рождаемости (Я1),1.357991774950609,1.358139196780806,1.363006666666663
2026-05-31,1.3425464831493783,1.3520280667003697,1.3541744076316873,1.3540920721752285,1.3468134485280103,1.3615353667353642,data (21).xls,2.14.Я.2,Суммарный коэффициент рождаемости (Я1),Суммарный коэффициент рождаемости (Я1),1.3584114033947092,1.3541744076316873,1.3632999999999975
2026-06-30,1.3411965632149103,1.3501744342762085,1.3512479011916871,1.3533630098816551,1.3436735367622525,1.3588222656211217,data (21).xls,2.14.Я.2,Суммарный коэффициент рождаемости (Я1),Суммарный коэффициент рождаемости (Я1),1.360736150725472,1.3512479011916871,1.363459999999998
2026-07-31,1.3409363681602018,1.3492063709092261,1.3495287913552163,1.3524244505122067,1.34174687166315,1.3573107110472826,data (21).xls,2.14.Я.2,Суммарный коэффициент рождаемости (Я1),Суммарный коэффициент рождаемости (Я1),1.3591140554697254,1.3495287913552163,1.3633366666666633
2026-08-31,1.3409854834959398,1.3487254970300995,1.3488626710718257,1.3523489823215866,1.3408785899301006,1.3568467522135508,data (21).xls,2.14.Я.2,Суммарный коэффициент рождаемости (Я1),Суммарный коэффициент рождаемости (Я1),1.3596012600100693,1.3488626710718257,1.363569999999998
2026-09-30,1.3404806152634807,1.3482028910396735,1.3488129855906796,1.3525345702871059,1.3406317369536112,1.3569942342277481,data (21).xls,2.14.Я.2,Суммарный коэффициент рождаемости (Я1),Суммарный коэффициент рождаемости (Я1),1.3612163595416977,1.3488129855906796,1.3639599999999983
2026-10-31,1.3387069089538992,1.3471208134243144,1.348778006953495,1.3518480387389609,1.340404232007545,1.3571517818994447,data (21).xls,2.14.Я.2,Суммарный коэффициент рождаемости (Я1),Суммарный коэффициент рождаемости (Я1),1.3606577976964314,1.348778006953495,1.363976666666665
2026-11-30,1.3352894941963611,1.345111434640477,1.3481520665150253,1.3506891852712166,1.33959009335288,1.3567140396771706,data (21).xls,2.14.Я.2,Суммарный коэффициент рождаемости (Я1),Суммарный коэффициент рождаемости (Я1),1.3610129310042227,1.3481520665150253,1.3638799999999962
2026-12-31,1.330293930971254,1.3420553947438514,1.3464878433674368,1.3483977685648678,1.3377417206828879,1.3552339660519857,data (21).xls,2.14.Я.2,Суммарный коэффициент рождаемости (Я1),Суммарный коэффициент рождаемости (Я1),1.3598383404084693,1.3464878433674368,1.3633133333333278
2027-01-31,1.3281370383484647,1.335116698470229,1.3357651704909184,1.3440738583336789,1.3268386964055325,1.3446916445763042,data (21).xls,2.14.Я.2,Суммарный коэффициент рождаемости (Я1),Суммарный коэффициент рождаемости (Я1),1.3603870510254499,1.3357651704909184,1.3609633333333322
2027-02-28,1.3217424398531519,1.3306879000285685,1.3318405611867206,1.3406611971603302,1.322737308076928,1.340943814296513,data (21).xls,2.14.Я.2,Суммарный коэффициент рождаемости (Я1),Суммарный коэффициент рождаемости (Я1),1.3591250847332144,1.3318405611867206,1.3599099999999966
2027-03-31,1.3159018249260361,1.3263008336982076,1.327299517080278,1.3376669271032546,1.318022853091277,1.336576181069279,data (21).xls,2.14.Я.2,Суммарный коэффициент рождаемости (Я1),Суммарный коэффициент рождаемости (Я1),1.3590391264784223,1.327299517080278,1.3597933333333294
2027-04-30,1.3113300480760428,1.3224732389927796,1.3227437661298744,1.3348957867157758,1.3132968739240372,1.3321906583357117,data (21).xls,2.14.Я.2,Суммарный коэффициент рождаемости (Я1),Суммарный коэффициент рождаемости (Я1),1.3580685470468519,1.3227437661298744,1.3598633333333296
