cluster_id,cluster_label,n_regions,data (20).xls | 2.14.Я.1,data (21).xls | 2.14.Я.2,data (22).xls | 2.14.Я.3,data (23).xls | 2.14.Я.4,data (25).xls | 2.14.Я.6,data (29).xls | 2.14.Я3.1,data (30).xls | 2.14.Я3.2,data (31).xls | 2.14.Я3.3,data (32).xls | 2.14.Я3.3,data (33).xls | 2.14.Я3.4,data (34).xls | 2.14.Я3.5,data (35).xls | 2.14.Я5.2
1,Кластер 1,56,17.65357142857143,1.3323035714285714,0.3648035714285714,5.611071428571429,94.66071428571429,29.286964285714284,55.31071428571429,4.073214285714285,3.748214285714286,91.88517857142857,28.409107142857145,117.10178571428571
2,Кластер 2,19,15.38421052631579,1.2473684210526315,0.30326315789473685,19.302105263157895,89.81052631578947,37.89,33.24526315789473,3.5,3.2842105263157895,118.50368421052633,29.283157894736842,123.33157894736843
3,Кластер 3,10,31.619999999999997,1.7754999999999999,0.7429,12.433,89.42999999999999,29.455000000000002,55.09400000000001,7.459999999999999,5.18,70.184,29.284000000000002,124.14000000000001
