observation_id,project_code,project_name,indicator_code,indicator_name,source_table_id,source_file,source_variant_title,source_title,passport_title,territory_name,territory_type,territory_raw,territory_indent_spaces,year,period_type,period_code,period_label,month_start,month_end,period_start,period_end,unit,value,value_raw,last_update,row_number_excel,column_number_excel,region_code,is_subject_89,territory_canonical_status,region_name,federal_district,period_end_dt,period_start_dt,annualized_method,is_full_year,territory_scope_norm
4523,Я,Национальный проект «Семья»,2.14.Я.5,"Количество созданных центров воспроизведения аудиовизуального контента в малых населенных пунктах с численностью населения до 50 тыс. человек, оснащенных необходимым оборудованием и подключенных к единой цифровой платформе с библиотекой современных продуктов российской киноиндустрии (Я5)",data_24,data (24).xls,"Количество созданных центров воспроизведения аудиовизуального контента в малых населенных пунктах с численностью населения до 50 тыс. человек, оснащенных необходимым оборудованием и подключенных к единой цифровой платформе с библиотекой современных продуктов российской киноиндустрии (Я5)","Количество созданных центров воспроизведения аудиовизуального контента в малых населенных пунктах с численностью населения до 50 тыс. человек, оснащенных необходимым оборудованием и подключенных к единой цифровой платформе с библиотекой современных продуктов российской киноиндустрии (Я5)","Количество созданных центров воспроизведения аудиовизуального контента в малых населенных пунктах с численностью населения до 50 тыс. человек, оснащенных необходимым оборудованием и подключенных к единой цифровой платформе с библиотекой современных продуктов российской киноиндустрии (Я5)",Российская Федерация,Российская Федерация,Российская Федерация,0,2025,месяц,2025-12,декабрь,12.0,12.0,2025-12-01,2025-12-31,единица,41.0,41.0,02.04.2026,5,14,,False,Российская Федерация,,,2025-12-31,2025-12-01,december_or_full_cumulative,True,Российская Федерация
4526,Я,Национальный проект «Семья»,2.14.Я.5,"Количество созданных центров воспроизведения аудиовизуального контента в малых населенных пунктах с численностью населения до 50 тыс. человек, оснащенных необходимым оборудованием и подключенных к единой цифровой платформе с библиотекой современных продуктов российской киноиндустрии (Я5)",data_24,data (24).xls,"Количество созданных центров воспроизведения аудиовизуального контента в малых населенных пунктах с численностью населения до 50 тыс. человек, оснащенных необходимым оборудованием и подключенных к единой цифровой платформе с библиотекой современных продуктов российской киноиндустрии (Я5)","Количество созданных центров воспроизведения аудиовизуального контента в малых населенных пунктах с численностью населения до 50 тыс. человек, оснащенных необходимым оборудованием и подключенных к единой цифровой платформе с библиотекой современных продуктов российской киноиндустрии (Я5)","Количество созданных центров воспроизведения аудиовизуального контента в малых населенных пунктах с численностью населения до 50 тыс. человек, оснащенных необходимым оборудованием и подключенных к единой цифровой платформе с библиотекой современных продуктов российской киноиндустрии (Я5)",Российская Федерация,Российская Федерация,Российская Федерация,0,2026,месяц,2026-03,март,3.0,3.0,2026-03-01,2026-03-31,единица,41.0,41.0,02.04.2026,5,17,,False,Российская Федерация,,,2026-03-31,2026-03-01,latest_partial_year,False,Российская Федерация
4539,Я,Национальный проект «Семья»,2.14.Я.6,"Уровень удовлетворенности граждан работой государственных и муниципальных организаций культуры, искусства и народного творчества (Я5)",data_25,data (25).xls,"Уровень удовлетворенности граждан работой государственных и муниципальных организаций культуры, искусства и народного творчества (Я5)","Уровень удовлетворенности граждан работой государственных и муниципальных организаций культуры, искусства и народного творчества (Я5)","Уровень удовлетворенности граждан работой государственных и муниципальных организаций культуры, искусства и народного творчества (Я5)",Российская Федерация,Российская Федерация,Российская Федерация,0,2025,год,2025,значение показателя за год,,,2025-01-01,2025-12-31,процент,93.6,93.6,02.04.2026,5,15,,False,Российская Федерация,,,2025-12-31,2025-01-01,explicit_year,True,Российская Федерация
4542,Я,Национальный проект «Семья»,2.14.Я.6,"Уровень удовлетворенности граждан работой государственных и муниципальных организаций культуры, искусства и народного творчества (Я5)",data_25,data (25).xls,"Уровень удовлетворенности граждан работой государственных и муниципальных организаций культуры, искусства и народного творчества (Я5)","Уровень удовлетворенности граждан работой государственных и муниципальных организаций культуры, искусства и народного творчества (Я5)","Уровень удовлетворенности граждан работой государственных и муниципальных организаций культуры, искусства и народного творчества (Я5)",Российская Федерация,Российская Федерация,Российская Федерация,0,2026,месяц,2026-03,март,3.0,3.0,2026-03-01,2026-03-31,процент,96.6,96.6,02.04.2026,5,18,,False,Российская Федерация,,,2026-03-31,2026-03-01,latest_partial_year,False,Российская Федерация
5915,Я1,Федеральный проект «Поддержка семьи»,2.14.Я1.2,"Доля семей с детьми, получивших меры социальной поддержки на детей на основании только заявления или проактивно, от общего числа семей с детьми, получивших меры социальной поддержки на детей",data_26,data (26).xls,"Доля семей с детьми, получивших меры социальной поддержки на детей на основании только заявления или проактивно, от общего числа семей с детьми, получивших меры социальной поддержки на детей(Я1)","Доля семей с детьми, получивших меры социальной поддержки на детей на основании только заявления или проактивно, от общего числа семей с детьми, получивших меры социальной поддержки на детей(Я1)","Доля семей с детьми, получивших меры социальной поддержки на детей на основании только заявления или проактивно, от общего числа семей с детьми, получивших меры социальной поддержки на детей(Я1)",Российская Федерация,Российская Федерация,Российская Федерация,0,2025,год,2025,значение показателя за год,,,2025-01-01,2025-12-31,процент,98.11,98.11,02.04.2026,5,15,,False,Российская Федерация,,,2025-12-31,2025-01-01,explicit_year,True,Российская Федерация
5918,Я1,Федеральный проект «Поддержка семьи»,2.14.Я1.2,"Доля семей с детьми, получивших меры социальной поддержки на детей на основании только заявления или проактивно, от общего числа семей с детьми, получивших меры социальной поддержки на детей",data_26,data (26).xls,"Доля семей с детьми, получивших меры социальной поддержки на детей на основании только заявления или проактивно, от общего числа семей с детьми, получивших меры социальной поддержки на детей(Я1)","Доля семей с детьми, получивших меры социальной поддержки на детей на основании только заявления или проактивно, от общего числа семей с детьми, получивших меры социальной поддержки на детей(Я1)","Доля семей с детьми, получивших меры социальной поддержки на детей на основании только заявления или проактивно, от общего числа семей с детьми, получивших меры социальной поддержки на детей(Я1)",Российская Федерация,Российская Федерация,Российская Федерация,0,2026,месяц,2026-03,март,3.0,3.0,2026-03-01,2026-03-31,процент,98.36,98.36,02.04.2026,5,18,,False,Российская Федерация,,,2026-03-31,2026-03-01,latest_partial_year,False,Российская Федерация
5930,Я1,Федеральный проект «Поддержка семьи»,2.14.Я1.3,"Доля зданий дошкольных образовательных организаций, в которых проведен капитальный ремонт, от общего количества зданий дошкольных образовательных организаций",data_27,data (27).xls,"Доля зданий дошкольных образовательных организаций, в которых проведен капитальный ремонт, от общего количества зданий дошкольных образовательных организаций","Доля зданий дошкольных образовательных организаций, в которых проведен капитальный ремонт, от общего количества зданий дошкольных образовательных организаций","Доля зданий дошкольных образовательных организаций, в которых проведен капитальный ремонт, от общего количества зданий дошкольных образовательных организаций",Российская Федерация,Российская Федерация,Российская Федерация,0,2025,месяц,2025-12,декабрь,12.0,12.0,2025-12-01,2025-12-31,процент,0.66,0.66,08.04.2026,5,14,,False,Российская Федерация,,,2025-12-31,2025-12-01,december_or_full_cumulative,True,Российская Федерация
5933,Я1,Федеральный проект «Поддержка семьи»,2.14.Я1.3,"Доля зданий дошкольных образовательных организаций, в которых проведен капитальный ремонт, от общего количества зданий дошкольных образовательных организаций",data_27,data (27).xls,"Доля зданий дошкольных образовательных организаций, в которых проведен капитальный ремонт, от общего количества зданий дошкольных образовательных организаций","Доля зданий дошкольных образовательных организаций, в которых проведен капитальный ремонт, от общего количества зданий дошкольных образовательных организаций","Доля зданий дошкольных образовательных организаций, в которых проведен капитальный ремонт, от общего количества зданий дошкольных образовательных организаций",Российская Федерация,Российская Федерация,Российская Федерация,0,2026,месяц,2026-03,март,3.0,3.0,2026-03-01,2026-03-31,процент,0.67,0.67,08.04.2026,5,17,,False,Российская Федерация,,,2026-03-31,2026-03-01,latest_partial_year,False,Российская Федерация
5945,Я2,Федеральный проект «Многодетная семья»,2.14.Я2.4,"Доля регионов, обеспечивших не ниже среднероссийских темпы повышения суммарного коэффициента рождаемости, из числа субъектов Российской Федерации, в которых по итогам 2023 года значение такого коэффициента было ниже среднероссийского",data_28,data (28).xls,"Доля регионов, обеспечивших не ниже среднероссийских темпы повышения суммарного коэффициента рождаемости, из числа субъектов Российской Федерации, в которых по итогам 2023 года значение такого коэффициента было ниже среднероссийского","Доля регионов, обеспечивших не ниже среднероссийских темпы повышения суммарного коэффициента рождаемости, из числа субъектов Российской Федерации, в которых по итогам 2023 года значение такого коэффициента было ниже среднероссийского","Доля регионов, обеспечивших не ниже среднероссийских темпы повышения суммарного коэффициента рождаемости, из числа субъектов Российской Федерации, в которых по итогам 2023 года значение такого коэффициента было ниже среднероссийского",Российская Федерация,Российская Федерация,Российская Федерация,0,2025,месяц,2025-12,декабрь,12.0,12.0,2025-12-01,2025-12-31,процент,56.1,56.1,09.04.2026,5,14,,False,Российская Федерация,,,2025-12-31,2025-12-01,december_or_full_cumulative,True,Российская Федерация
5948,Я2,Федеральный проект «Многодетная семья»,2.14.Я2.4,"Доля регионов, обеспечивших не ниже среднероссийских темпы повышения суммарного коэффициента рождаемости, из числа субъектов Российской Федерации, в которых по итогам 2023 года значение такого коэффициента было ниже среднероссийского",data_28,data (28).xls,"Доля регионов, обеспечивших не ниже среднероссийских темпы повышения суммарного коэффициента рождаемости, из числа субъектов Российской Федерации, в которых по итогам 2023 года значение такого коэффициента было ниже среднероссийского","Доля регионов, обеспечивших не ниже среднероссийских темпы повышения суммарного коэффициента рождаемости, из числа субъектов Российской Федерации, в которых по итогам 2023 года значение такого коэффициента было ниже среднероссийского","Доля регионов, обеспечивших не ниже среднероссийских темпы повышения суммарного коэффициента рождаемости, из числа субъектов Российской Федерации, в которых по итогам 2023 года значение такого коэффициента было ниже среднероссийского",Российская Федерация,Российская Федерация,Российская Федерация,0,2026,месяц,2026-03,март,3.0,3.0,2026-03-01,2026-03-31,процент,63.4,63.4,09.04.2026,5,17,,False,Российская Федерация,,,2026-03-31,2026-03-01,latest_partial_year,False,Российская Федерация
