region_code,region_name,tile_label,federal_district,tile_x,tile_y,has_tile_polygon,territory_name,indicator_code,indicator_name,source_file,source_title,year,period_type,period_label,period_end,unit,value,last_update,data_mode,has_value,missing_reason
21,Чувашская Республика - Чувашия,ЧУВ,Приволжский федеральный округ,11,6,True,Чувашская Республика - Чувашия,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,18.1,30.12.2025,complete_year,True,
22,Алтайский край,АЛК,Сибирский федеральный округ,18,6,True,Алтайский край,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,24.1,30.12.2025,complete_year,True,
23,Краснодарский край,КДР,Южный федеральный округ,3,9,True,Краснодарский край,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,24.0,30.12.2025,complete_year,True,
24,Красноярский край,КРЯ,Сибирский федеральный округ,21,6,True,Красноярский край,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,18.8,30.12.2025,complete_year,True,
25,Приморский край,ПРИ,Дальневосточный федеральный округ,23,4,True,Приморский край,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,18.7,30.12.2025,complete_year,True,
26,Ставропольский край,СТА,Северо-Кавказский федеральный округ,7,11,True,Ставропольский край,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,20.9,30.12.2025,complete_year,True,
27,Хабаровский край,ХАБ,Дальневосточный федеральный округ,22,4,True,Хабаровский край,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,13.8,30.12.2025,complete_year,True,
28,Амурская область,АМУ,Дальневосточный федеральный округ,24,3,True,Амурская область,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,24.7,30.12.2025,complete_year,True,
29,Архангельская область,АРХ,Северо-Западный федеральный округ,2,0,True,Архангельская область (кроме Ненецкого автономного округа),2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,13.6,30.12.2025,complete_year,True,
30,Астраханская область,АСТ,Южный федеральный округ,5,8,True,Астраханская область,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,13.6,30.12.2025,complete_year,True,
31,Белгородская область,БЕЛ,Центральный федеральный округ,8,5,True,Белгородская область,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,12.8,30.12.2025,complete_year,True,
