region_code,region_name,federal_district,family_project_performance_index,family_project_risk_index,pc1_score,outlier_score,is_outlier_top15pct
39,Калининградская область,Северо-Западный федеральный округ,29.21,70.79,-0.9295505588355594,0.3759481178976103,False
40,Калужская область,Центральный федеральный округ,32.58,67.42,-0.7936233904743272,0.37485049708653834,False
23,Краснодарский край,Южный федеральный округ,71.91,28.09,0.4314135257642271,0.373267093187629,False
30,Астраханская область,Южный федеральный округ,70.79,29.21,0.32624274532551606,0.37324876198734674,False
54,Новосибирская область,Сибирский федеральный округ,79.78,20.22,0.6398084844448946,0.3724941602616273,False
32,Брянская область,Центральный федеральный округ,20.22,79.78,-1.1191200510982724,0.3723673642015015,False
72,Тюменская область,Уральский федеральный округ,77.53,22.47,0.6203852165867992,0.37183026754471515,False
28,Амурская область,Дальневосточный федеральный округ,66.29,33.71,0.0929317358109605,0.36893521837716525,False
27,Хабаровский край,Дальневосточный федеральный округ,56.18,43.82,-0.23469574341942728,0.36466423023417466,False
19,Республика Хакасия,Сибирский федеральный округ,53.93,46.07,-0.3812897340402231,0.3638390397091041,False
29,Архангельская область,Северо-Западный федеральный округ,31.46,68.54,-0.8314995731672199,0.3638222238812938,False
55,Омская область,Сибирский федеральный округ,64.04,35.96,0.0666176860792784,0.3637720631414294,False
35,Вологодская область,Северо-Западный федеральный округ,43.82,56.18,-0.507262901089901,0.3628623898056993,False
73,Ульяновская область,Приволжский федеральный округ,38.2,61.8,-0.736279994871066,0.3613292906613637,False
22,Алтайский край,Сибирский федеральный округ,28.09,71.91,-0.93155958814964,0.359230243559989,False
10,Республика Карелия,Северо-Западный федеральный округ,62.92,37.08,-0.09245695841676049,0.3576249233576278,False
74,Челябинская область,Уральский федеральный округ,44.94,55.06,-0.49807957742783626,0.35344106910473627,False
21,Чувашская Республика - Чувашия,Приволжский федеральный округ,22.47,77.53,-1.0910790893317301,0.3520331648517155,False
56,Оренбургская область,Приволжский федеральный округ,40.45,59.55,-0.6572517392097522,0.35132472231595474,False
18,Удмуртская Республика,Приволжский федеральный округ,17.98,82.02,-1.1512104133644174,0.351021062272916,False
61,Ростовская область,Южный федеральный округ,24.72,75.28,-0.9764033668274019,0.3504440272517071,False
25,Приморский край,Дальневосточный федеральный округ,59.55,40.45,-0.09925442988516107,0.34404407902729434,False
66,Свердловская область,Уральский федеральный округ,55.06,44.94,-0.32880035545567166,0.3433144112248264,False
24,Красноярский край,Сибирский федеральный округ,57.3,42.7,-0.16500816734349488,0.33954220448896943,False
93,Донецкая Народная Республика,Новые регионы / Южный макрорегион,47.19,52.81,-0.4643072855728189,0.3304828873231155,False
90,Запорожская область,Новые регионы / Южный макрорегион,48.88,51.12,-0.46406418219402096,0.3304163953871445,False
94,Луганская Народная Республика,Новые регионы / Южный макрорегион,50.56,49.44,-0.4640479753021009,0.3304163953871445,False
95,Херсонская область,Новые регионы / Южный макрорегион,48.88,51.12,-0.46406418219402096,0.3304163953871445,False
